AirportName,Latitude,Longitude,Continent,IsoCountry,IsoRegion,City,GpsCode,IataCode
Boun Neau Airport,21.6475,101.9,AS,LA,LA-PH,Phongsaly,VLFL,PCQ
Bourges Airport,47.05810165,2.370280027,EU,FR,FR-CVL,Bourges,LFLD,BOU
Bourke Airport,-30.03919983,145.9519958,OC,AU,AU-NSW,Bourke,YBKE,BRK
Bournemouth Airport,50.779999,-1.8425,EU,GB,GB-ENG,Bournemouth,EGHH,BOH
Bou Saada Airport,35.3325,4.20639,AF,DZ,DZ-28,Ouled Sidi Brahim,DAAD,BUJ
Bousso Airport,10.4829998,16.71699905,AF,TD,TD-CB,Bousso,FTTS,OUT
Boutilimit Airport,17.52832,-14.71412,AF,MR,MR-06,Boutilimit,GQNB,OTL
Bovanenkovo Airport,70.315278,68.333611,AS,RU,RU-YAN,Bovanenkovo,USDB,BVJ
Bowen Airport,-20.017999,148.215245,OC,AU,AU-QLD,Bowen,YBWN,ZBO
Bowerman Airport,46.97119904,-123.9369965,NA,US,US-WA,Hoquiam,KHQM,HQM
Bowers Field,47.03300095,-120.5309982,NA,US,US-WA,Ellensburg,KELN,ELN
Bowling Green Warren County Regional Airport,36.96450043,-86.41970062,NA,US,US-KY,Bowling Green,KBWG,BWG
Bowman Field,38.22800064,-85.66369629,NA,US,US-KY,Louisville,KLOU,LOU
Bowman Regional Airport,46.1655193,-103.30075,NA,US,US-ND,Bowman,KBWW,BWM
Bozoum Airport,6.344170094,16.32189941,AF,CF,CF-OP,Bozoum,FEGZ,BOZ
Brač Airport,43.285702,16.679701,EU,HR,HR-17,Bol,LDSB,BWK
Brackett Field,34.09159851,-117.7819977,NA,US,US-CA,La Verne,KPOC,POC
Bradford Regional Airport,41.80310059,-78.64009857,NA,US,US-PA,Bradford,KBFD,BFD
Bradley International Airport,41.93851,-72.688066,NA,US,US-CT,Hartford,KBDL,BDL
Bradshaw Army Airfield,19.760099,-155.554001,NA,US,US-HI,Waimea (Kamuela),PHSF,BSF
Bragado Airport,-35.145811,-60.480294,SA,AR,AR-B,Bragado,SA2X,QRF
Braga Municipal Aerodrome,41.58710098,-8.445139885,EU,PT,PT-03,Braga,LPBR,BGZ
Bragança Airport,41.8578,-6.70713,EU,PT,PT-04,Bragança,LPBG,BGC
Brainerd Lakes Regional Airport,46.402861,-94.129727,NA,US,US-MN,Brainerd,KBRD,BRD
Bram Fischer International Airport,-29.092699,26.302401,AF,ZA,ZA-FS,Bloemfontain,FABL,BFN
Brandon Municipal Airport,49.91,-99.951897,NA,CA,CA-MB,Brandon,CYBR,YBR
Branson Airport,36.532082,-93.200544,NA,US,US-MO,Branson,KBBG,BKG
Bratsk Airport,56.37060165,101.697998,AS,RU,RU-IRK,Bratsk,UIBB,BTK
Braunschweig-Wolfsburg Airport,52.319199,10.5561,EU,DE,DE-NI,Braunschweig,EDVE,BWE
Brawley Municipal Airport,32.99290085,-115.5169983,NA,US,US-CA,Brawley,KBWC,BWC
Breiðdalsvík Airport,64.790037,-14.043927,EU,IS,IS-7,Breiðdalsvík,BIBV,BXV
Bremen Airport,53.047501,8.78667,EU,DE,DE-HB,Bremen,EDDW,BRE
Bremerton National Airport,47.49020004,-122.7649994,NA,US,US-WA,Bremerton,KPWT,PWT
Brescia Airport,45.428902,10.3306,EU,IT,IT-25,Montichiari (BS),LIPO,VBS
Brest Airport,52.108299,23.8981,EU,BY,BY-BR,Brest,UMBB,BQT
Brest Bretagne Airport,48.44789886,-4.418540001,EU,FR,FR-BRE,Brest/Guipavas,LFRB,BES
Breves Airport,-1.636530042,-50.4435997,SA,BR,BR-PA,Breves,SNVS,BVS
Brevig Mission Airport,65.33129883,-166.4660034,NA,US,US-AK,Brevig Mission,PFKT,KTS
Brewster Field,40.452099,-99.336502,NA,US,US-NE,Holdrege,KHDE,HDE
Bria Airport,6.527780056,21.98940086,AF,CF,CF-HK,Bria,FEFR,BIV
Brigadeiro Cabral Airport,-20.1807003,-44.8708992,SA,BR,BR-MG,Divinópolis,SNDV,DIQ
Brigadeiro Camarão Airport,-12.6944,-60.098301,SA,BR,BR-RO,Vilhena,SBVH,BVH
Brigadeiro Eduardo Gomes Airport,-13.821021,-56.038591,SA,BR,BR-MT,Nova Mutum,SDNM,NVM
Brigadeiro Lysias Rodrigues Airport,-10.2915,-48.356998,SA,BR,BR-TO,Palmas,SBPJ,PMW
Brigadier Antonio Parodi Airport,-42.90800095,-71.13950348,SA,AR,AR-U,Esquel,SAVE,EQS
Brigadier D.H.E. Ruiz Airport,-37.446098,-61.889301,SA,AR,AR-B,Coronel Suarez,SAZC,CSZ
Brigadier Mayor D Cesar Raul Ojeda Airport,-33.27320099,-66.35639954,SA,AR,AR-D,San Luis,SAOU,LUQ
Brigham City Regional Airport,41.552399,-112.061996,NA,US,US-UT,Brigham City,KBMC,BMC
Brig. Lysias Augusto Rodrigues Airport,-7.32044,-47.458698,SA,BR,BR-MA,Carolina,SBCI,CLN
Brindisi Airport,40.6576,17.947001,EU,IT,IT-75,Brindisi,LIBR,BDS
Brisbane International Airport,-27.38419914,153.1170044,OC,AU,AU-QLD,Brisbane,YBBN,BNE
Bristol Airport,51.382702,-2.71909,EU,GB,GB-ENG,Bristol,EGGD,BRS
Britton Municipal Airport,45.81520081,-97.74310303,NA,US,US-SD,Britton,KBTN,TTO
Brive-Souillac,45.039722,1.485556,EU,FR,FR-NAQ,Brive la Gaillarde,LFSL,BVE
Brno-Tuřany Airport,49.15129852,16.69440079,EU,CZ,CZ-JM,Brno,LKTB,BRQ
Broadford Airstrip,57.253399,-5.8279,EU,GB,GB-SCT,Ashaig,EGEI,SKL
Broadus Airport,45.47249985,-105.4540024,NA,US,US-MT,Broadus,00F,BDX
Brochet Airport,57.8894,-101.679001,NA,CA,CA-MB,Brochet,CYBT,YBT
Brockville - Thousand Islands Regional Tackaberry Airport,44.63940048,-75.75029755,NA,CA,CA-ON,Brockville,CNL3,XBR
Broken Bow Municipal Airport,41.43650055,-99.64219666,NA,US,US-NE,Broken Bow,KBBW,BBW
Broken Hill Airport,-32.00139999,141.4720001,OC,AU,AU-NSW,Broken Hill,YBHI,BHQ
Bromont (Roland Désourdy) Airport,45.290798,-72.741402,NA,CA,CA-QC,Bromont,CZBM,ZBM
"Brønnøysund Airport, Brønnøy",65.461098,12.2175,EU,NO,NO-18,Brønnøy,ENBN,BNN
Brookhaven Calabro Airport,40.821899,-72.8694,NA,US,US-NY,Shirley,KHWV,WSH
Brookings Airport,42.0746,-124.290001,NA,US,US-OR,Brookings,KBOK,BOK
Brookings Regional Airport,44.304798,-96.816902,NA,US,US-SD,Brookings,KBKX,BKX
Broome International Airport,-17.948789,122.227407,OC,AU,AU-WA,Broome,YBRM,BME
Brown Field Municipal Airport,32.572639,-116.980019,NA,US,US-CA,San Diego,KSDM,SDM
Browns Airport,40.86750031,-96.11000061,NA,US,US-NE,Weeping Water,NE69,EPG
Brownsville South Padre Island International Airport,25.90679932,-97.42590332,NA,US,US-TX,Brownsville,KBRO,BRO
Brownwood Regional Airport,31.79360008,-98.95649719,NA,US,US-TX,Brownwood,KBWD,BWD
Bruce Campbell Field,32.438702,-90.103104,NA,US,US-MS,Madison,KMBO,DXE
Brunei International Airport,4.9442,114.928001,AS,BN,BN-BM,Bandar Seri Begawan,WBSB,BWN
Brunswick Executive Airport,43.89220047,-69.93859863,NA,US,US-ME,Brunswick,KBXM,NHZ
Brunswick Golden Isles Airport,31.25880051,-81.46649933,NA,US,US-GA,Brunswick,KBQK,BQK
Brunswick Municipal Airport,36.774229,-77.793846,NA,US,US-VA,Lawrenceville,KLVL,LVL
Brus Laguna Airport,15.7631,-84.543602,NA,HN,HN-GD,Brus Laguna,MHBL,BHG
Brussels Airport,50.901402,4.48444,EU,BE,BE-BRU,Zaventem,EBBR,BRU
Brussels South Charleroi Airport,50.459202,4.45382,EU,BE,BE-WHT,Brussels,EBCI,CRL
Bryansk Airport,53.214199,34.176399,EU,RU,RU-BRY,Bryansk,UUBP,BZK
Bryant Army Airfield,61.266399,-149.653,NA,US,US-AK,Fort Richardson,PAFR,FRN
Bryce Canyon Airport,37.70640183,-112.1449966,NA,US,US-UT,Bryce Canyon,KBCE,BCE
Bua - Palopo Lagaligo Airport,-3.082997,120.245018,AS,ID,ID-SN,Palopo,WAFD,LLO
Bubaque Airport,11.29735565,-15.83807945,AF,GW,GW-BL,Bubaque,GGBU,BQE
Buchanan Airport,5.905503,-10.058262,AF,LR,LR-GB,Buchanan,GLBU,UCN
Buchanan Field,37.98970032,-122.0569992,NA,US,US-CA,Concord,KCCR,CCR
Bucholz Army Air Field,8.72012043,167.7319946,OC,MH,MH-KWA,Kwajalein,PKWA,KWA
Buckeye Municipal Airport,33.422397,-112.686317,NA,US,US-AZ,Buckeye,KBXK,BXK
Buckland Airport,65.981598,-161.149002,NA,US,US-AK,Buckland,PABL,BKC
Buckley Space Force Base,39.701698,-104.751999,NA,US,US-CO,Aurora,KBKF,BFK
Budapest Liszt Ferenc International Airport,47.42976,19.261093,EU,HU,HU-PE,Budapest,LHBP,BUD
Búðardalur Airport,65.07530212,-21.8003006,EU,IS,IS-3,Búðardalur,BIBR,BQD
Buenos Aires Airport,9.163949,-83.330171,NA,CR,CR-P,Punta Arenas,MRBA,BAI
Buffalo Narrows Airport,55.84189987,-108.4179993,NA,CA,CA-SK,Buffalo Narrows,CYVT,YVT
Buffalo Niagara International Airport,42.94049835,-78.73220062,NA,US,US-NY,Buffalo,KBUF,BUF
Buffalo Range Airport,-21.008101,31.5786,AF,ZW,ZW-MV,Chiredzi,FVCZ,BFO
Bugulma Airport,54.641184,52.800229,AS,RU,RU-TA,Bugulma,UWKB,UUA
Buin Airport,-6.729166667,155.6833333,OC,PG,PG-NSB,Buin,AYUI,UBI
Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501,AF,BI,BI-BM,Bujumbura,HBBA,BJM
Buka Airport,-5.422319889,154.6730042,OC,PG,PG-NSB,Buka Island,AYBK,BUA
Bukavu Kavumu Airport,-2.30898,28.8088,AF,CD,CD-SK,Kamakombe,FZMA,BKY
Bukhara International Airport,39.775002,64.483299,AS,UZ,UZ-BU,Bukhara,UTSB,BHK
Bukoba Airport,-1.332,31.8212,AF,TZ,TZ-05,Bukoba,HTBU,BKZ
Bulagtai Resort Airport,43.749304,104.114985,AS,MN,MN-055,"Khankhongor, Ömnögovi",ZMBR,UGT
Bulgan Airport,48.85499954,103.4759979,AS,MN,MN-067,Bulgan,ZMBN,UGA
Bulgan Sum Airport,46.100601,91.584198,AS,MN,MN-043,Bulgan,ZMBS,HBU
Buli Airport,0.9194,128.3825,AS,ID,ID-MA,Pekaulang,WAEM,PGQ
Bullfrog Basin Airport,37.547827,-110.712898,NA,US,US-UT,Bullfrog,KU07,BFG
Bulolo Airport,-7.216286671,146.6495419,OC,PG,PG-MPL,Bulolo,AYBU,BUL
Bultfontein Airport,-28.273369,26.135835,AF,ZA,ZA-FS,Bultfontein,FABU,UTE
Bumbar Airport,2.183261,22.479572,AF,CD,CD-MO,Bumbar,FZFU,BMB
Bumi Hills Airport,-16.816485,28.344786,AF,ZW,ZW-MW,Bumi,FVBM,BZH
Bundaberg Airport,-24.905039,152.322612,OC,AU,AU-QLD,Bundaberg,YBUD,BDB
Bundi Airport,-5.742222222,145.2275,OC,PG,PG-MPM,Bundi,AYDI,BNT
Bunia Airport,1.565743,30.220685,AF,CD,CD-IT,Bunia,FZKA,BUX
Bunsil Airport,-5.7243,147.8667,OC,PG,PG-MPL,Bunsil - Umboi Island,AYNS,BXZ
Bunyu Airport,3.455719948,117.8669968,AS,ID,ID-KU,Bunju Island,WALV,BYQ
Buochs Airport,46.974444,8.396944,EU,CH,CH-NW,Buochs,LSZC,BXO
Buol Airport,1.1027,121.4141,AS,ID,ID-ST,Buol-Celebes Island,WAMY,UOL
Buon Ma Thuot Airport,12.66829968,108.1200027,AS,VN,VN-CH,Buon Ma Thuot,VVBM,BMV
Buraimi Airport,24.241626,55.783674,AS,OM,OM-BU,Buraimi,OOBR,RMB
Burao Airport,9.5275,45.5549,AF,SO,SO-TO,Burao,HCMV,BUO
Burevestnik Airport,44.919998,147.621994,EU,RU,RU-SAK,Kurilsk,UHSB,BVV
Burgas Airport,42.56959915,27.51519966,EU,BG,BG-02,Burgas,LBBG,BOJ
Burg Feuerstein Airport,49.79416656,11.13361073,EU,DE,DE-BY,Ebermannstadt,EDQE,URD
Burgos Airport,42.357601,-3.62076,EU,ES,ES-CL,Burgos,LEBG,RGS
Buri Ram Airport,15.2295,103.252998,AS,TH,TH-31,Buriram,VTUO,BFV
Burke Lakefront Airport,41.51750183,-81.6832962,NA,US,US-OH,Cleveland,KBKL,BKL
Burketown Airport,-17.74860001,139.5339966,OC,AU,AU-QLD,Burketown,YBKT,BUC
Burley Municipal Airport,42.54259872,-113.7720032,NA,US,US-ID,Burley,KBYI,BYI
Burlington International Airport,44.471901,-73.153297,NA,US,US-VT,South Burlington,KBTV,BTV
Burns Lake Airport,54.3764,-125.950996,NA,CA,CA-BC,Burns Lake,CYPZ,YPZ
Burns Municipal Airport,43.590463,-118.955154,NA,US,US-OR,Burns,KBNO,BNO
Burqin Kanas Airport,48.2223,86.9959,AS,CN,CN-65,Burqin,ZWKN,KJI
Bursa Yenişehir Airport,40.25519943,29.56259918,AS,TR,TR-16,Bursa,LTBR,YEI
Burwash Airport,61.371101,-139.041,NA,CA,CA-YT,Burwash Landing,CYDB,YDB
Bushehr Airport,28.94479942,50.83459854,AS,IR,IR-18,Bushehr,OIBB,BUZ
Busselton Margaret River Regional Airport,-33.688423,115.401596,OC,AU,AU-WA,Busselton,YBLN,BQB
Butare Airport,-2.595829964,29.73670006,AF,RW,RW-05,Butare,HRYI,BTQ
Butaritari Airport,3.08583,172.811005,OC,KI,KI-G,Butaritari,NGTU,BBG
Buta Zega Airport,2.818058,24.793997,AF,CD,CD-BU,Buta,FZKJ,BZU
Butler Co Regional Airport - Hogan Field,39.36380005,-84.52200317,NA,US,US-OH,Hamilton,KHAO,HAO
Butler Memorial Airport,38.28979874,-94.34010315,NA,US,US-MO,Butler,KBUM,BUM
Buttonville Municipal Airport,43.86220169,-79.37000275,NA,CA,CA-ON,Toronto,CYKZ,YKZ
Butts AAF (Fort Carson) Air Field,38.67839813,-104.7570038,NA,US,US-CO,Fort Carson,KFCS,FCS
Buyant-Ukhaa International Airport,47.843102,106.766998,AS,MN,MN-1,Ulaanbaatar,ZMUB,ULN
Bydgoszcz Ignacy Jan Paderewski Airport,53.096802,17.977699,EU,PL,PL-KP,Bydgoszcz,EPBY,BZG
Cabinda Airport,-5.596990108,12.18840027,AF,AO,AO-CAB,Cabinda,FNCA,CAB
Cable Airport,34.11159897,-117.6880035,NA,US,US-CA,Upland,KCCB,CCB
Cabo 1° Juan Román Airport,-45.39920044,-72.67030334,SA,CL,CL-AI,Puerto Aysen,SCAS,WPA
Cabo Frio Airport,-22.921485,-42.071874,SA,BR,BR-RJ,Cabo Frio,SBCB,CFB
Cabo Rojo Airport,17.92900085,-71.64479828,NA,DO,DO-16,Cabo Rojo,MDCR,CBJ
Caçador Airport,-26.787423,-50.939942,SA,BR,BR-SC,Caçador,SBCD,CFC
Cáceres Airport,-16.04360008,-57.62990189,SA,BR,BR-MT,Cáceres,SWKC,CCX
Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,NA,CA,CA-BC,Cache Creek,CAZ5,YZA
Cachoeira do Sul Airport,-30.00189972,-52.94079971,SA,BR,BR-RS,Cachoeira Do Sul,SSKS,QDB
Cachoeiro do Itapemirim - Raimundo de Andrade Airport,-20.834299,-41.1856,SA,BR,BR-ES,Cachoeiro do Itapemirim,SNKI,CDI
Cacique Aramare Airport,5.619989872,-67.60610199,SA,VE,VE-Z,Puerto Ayacucho,SVPA,PYH
Cacoal Airport,-11.496,-61.4508,SA,BR,BR-RO,Cacoal,SSKW,OAL
Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948,-76.37319946,SA,PE,PE-SAM,Tarapoto,SPST,TPP
Cadjehoun Airport,6.357230186,2.384350061,AF,BJ,BJ-AQ,Cotonou,DBBB,COO
Caen-Carpiquet Airport,49.173302,-0.45,EU,FR,FR-NOR,Caen/Carpiquet,LFRK,CFR
Cafunfo Airport,-8.783610344,17.98970032,AF,AO,AO-LNO,Cafunfo,FNCF,CFF
Cagayan de Sulu Airport,7.013999939,118.4960022,AS,PH,PH-TAW,Mapun,RPMU,CDY
Cagayan North International Airport,18.182388,121.745853,AS,PH,PH-CAG,Lal-lo,RPLH,LLC
Cagliari Elmas Airport,39.251499,9.05428,EU,IT,IT-88,Cagliari,LIEE,CAG
Cairns AAF (Fort Rucker) Air Field,31.27569962,-85.71340179,NA,US,US-AL,Fort Rucker/Ozark,KOZR,OZR
Cairns International Airport,-16.88579941,145.7550049,OC,AU,AU-QLD,Cairns,YBCS,CNS
Cairo International Airport,30.111534,31.396694,AF,EG,EG-C,Cairo,HECA,CAI
Cairo Regional Airport,37.064499,-89.219597,NA,US,US-IL,Cairo,KCIR,CIR
Cakung Airport,-8.486479,126.399981,AS,TL,TL-BA,Baucau,WPEC,BCH
Calabozo Airport,8.924655914,-67.41709137,SA,VE,VE-J,Guarico,SVCL,CLZ
Calais-Dunkerque Airport,50.962101,1.95476,EU,FR,FR-HDF,Marck,LFAC,CQF
Calbayog Airport,12.07269955,124.5449982,AS,PH,PH-WSA,Calbayog City,RPVC,CYP
Caledonia County Airport,44.56909943,-72.01799774,NA,US,US-VT,Lyndonville,KCDA,LLX
Calexico International Airport,32.66949844,-115.5130005,NA,US,US-CA,Calexico,KCXL,CXL
Calgary International Airport,51.11389923,-114.0199966,NA,CA,CA-AB,Calgary,CYYC,YYC
Calicut International Airport,11.1368,75.955299,AS,IN,IN-KL,Calicut,VOCL,CCJ
California Redwood Coast-Humboldt County Airport,40.978101,-124.109,NA,US,US-CA,Arcata/Eureka,KACV,ACV
Caloundra Airport,-26.80336,153.104975,OC,AU,AU-QLD,Caloundra,YCDR,CUD
Caluula Airport,11.9582,50.748,AF,SO,SO-BR,Caluula,HCMA,ALU
Calverton Executive Airpark,40.9151,-72.791901,NA,US,US-NY,Calverton,3NY8,CTO
Calvi-Sainte-Catherine Airport,42.5244444,8.7930556,EU,FR,FR-COR,Calvi/Sainte-Catherine,LFKC,CLY
Cà Mau Airport,9.177667,105.177778,AS,VN,VN-SW,Ca Mau City,VVCM,CAH
Camaxilo Airport,-8.373609543,18.92359924,AF,AO,AO-LNO,Camaxilo,FNCX,CXM
Cambridge Airport,52.205002,0.175,EU,GB,GB-ENG,Cambridge,EGSC,CBG
Cambridge Bay Airport,69.10810089,-105.1380005,NA,CA,CA-NU,Cambridge Bay,CYCB,YCB
Cambridge Dorchester Airport,38.53929901,-76.03040314,NA,US,US-MD,Cambridge,KCGE,CGE
Camden Airport,-34.038338,150.686406,OC,AU,AU-NSW,Cobbitty,YSCN,CDU
Camiguin Airport,9.253894,124.709115,AS,PH,PH-CAM,Mambajao,RPMH,CGM
Camilo Daza International Airport,7.92757,-72.5115,SA,CO,CO-NSA,Cúcuta,SKCC,CUC
Camilo Ponce Enriquez Airport,-3.99589,-79.371902,SA,EC,EC-L,La Toma (Catamayo),SETM,LOH
Camiri Airport,-20.00639915,-63.52780151,SA,BO,BO-S,Camiri,SLCA,CAM
Camocim - Pinto Martins Airport,-2.895596,-40.859299,SA,BR,BR-CE,Camocim,SNWC,CMC
Camopi Airport,3.172847,-52.336142,SA,GF,GF-CY,Camopi,SOOC,OYC
Campbell Army Airfield (Fort Campbell),36.674154,-87.48974,NA,US,US-KY,Fort Campbell,KHOP,HOP
Campbell River Airport,49.950802,-125.271004,NA,CA,CA-BC,Campbell River,CYBL,YBL
Campbell River Seaplane Base,50.049999,-125.25,NA,CA,CA-BC,Campbell River,CAE3,YHH
Campbeltown Airport,55.43719864,-5.686389923,EU,GB,GB-SCT,Campbeltown,EGEC,CAL
Campo de Marte Airport,-23.5091,-46.637798,SA,BR,BR-SP,São Paulo,SBMT,RTE
Campo Fontenelle,-21.984692,-47.341207,SA,BR,BR-SP,Pirassununga,SBYS,QPS
Campo Grande Airport,-20.469998,-54.673988,SA,BR,BR-MS,Campo Grande,SBCG,CGR
Campo Mourão Airport,-24.009199,-52.3568,SA,BR,BR-PR,Campo Mourão,SSKM,CBW
Camp Shorabak Airfield,31.848735,64.223175,AS,AF,AF-HEL,Lashkar Gah,OAZI,OAZ
Cam Ranh International Airport / Cam Ranh Air Base,11.9982,109.219002,AS,VN,VN-SCC,Cam Ranh,VVCR,CXR
Canaima Airport,6.231988907,-62.85443115,SA,VE,VE-F,Canaima,SVCN,CAJ
Çanakkale Airport,40.13769913,26.42679977,AS,TR,TR-17,Çanakkale,LTBH,CKZ
Cañal Bajo Carlos - Hott Siebert Airport,-40.611198,-73.060997,SA,CL,CL-LL,Osorno,SCJO,ZOS
Canandaigua Airport,42.908902,-77.325226,NA,US,US-NY,Ontario County IDA,KIUA,IUA
Cananea National Airport,31.06615,-110.097878,NA,MX,MX-SON,Cananea,MMCA,CNA
Canarana Airport,-13.57444382,-52.2705574,SA,BR,BR-MT,Canarana,SWEK,CQA
Canberra International Airport,-35.3069,149.195007,OC,AU,AU-ACT,Canberra,YSCB,CBR
Candle 2 Airport,65.90769959,-161.9259949,NA,US,US-AK,Candle,AK75,CDL
Canefield Airport,15.336693,-61.392108,NA,DM,DM-10,Canefield,TDCF,DCF
Canela Airport,-29.370091,-50.831729,SA,BR,BR-RS,Canela,SSCN,CEL
Cangapara Airport,-6.846389771,-43.07730103,SA,BR,BR-PI,Floriano,SNQG,FLB
Cangyuan Washan Airport,23.276331,99.373169,AS,CN,CN-53,Lincang (Cangyuan),ZPCW,CWJ
Cannes-Mandelieu Airport,43.542,6.95348,EU,FR,FR-PAC,Cannes,LFMD,CEQ
Cannon Air Force Base,34.382801,-103.321999,NA,US,US-NM,Clovis,KCVS,CVS
Canobie Airport,-19.47940063,140.927002,OC,AU,AU-QLD,Canobie,YCBE,CBY
Canouan Airport,12.699,-61.3424,NA,VC,VC-06,Canouan,TVSC,CIW
Can Tho International Airport,10.0851,105.711998,AS,VN,VN-SW,Can Tho,VVCT,VCA
Canton Island Airport,-2.76812005,-171.7100067,OC,KI,KI-P,Abariringa,PCIS,CIS
Canyonlands Regional Airport,38.755001,-109.754997,NA,US,US-UT,Moab,KCNY,CNY
Capanda Airport,-9.769370079,15.4553194,AF,AO,AO-MAL,Capanda,FNCP,KNP
Cape Air Seaplanes on Boston Harbor Seaplane Base,42.352502,-71.025832,NA,US,US-MA,Boston,MA87,BNH
Cape Barren Island Airport,-40.39170074,148.0169983,OC,AU,AU-TAS,Cape Barren Island,YCBN,CBI
Cape Cod Coast Guard Air Station,41.657899,-70.52163,NA,US,US-MA,Falmouth,KFMH,FMH
Cape Cod Gateway Airport,41.6693,-70.280403,NA,US,US-MA,Hyannis,KHYA,HYA
Cape Dorset Airport,64.230003,-76.526703,NA,CA,CA-NU,Kinngait,CYTE,YTE
Cape Girardeau Regional Airport,37.2253,-89.570801,NA,US,US-MO,Cape Girardeau,KCGI,CGI
Cape Gloucester Airport,-5.458965,148.432417,OC,PG,PG-WBK,Cape Gloucester,AYCG,CGC
Cape Lisburne LRRS Airport,68.87509918,-166.1100006,NA,US,US-AK,Cape Lisburne,PALU,LUR
Cape May County Airport,39.00849915,-74.90830231,NA,US,US-NJ,Wildwood,KWWD,WWD
Cape Newenham LRRS Airport,58.64640045,-162.0630035,NA,US,US-AK,Cape Newenham,PAEH,EHM
Cape Palmas Airport,4.379020214,-7.696949959,AF,LR,LR-MY,Harper,GLCP,CPA
Cape Pole Seaplane Base,55.96630096,-133.7969971,NA,US,US-AK,Cape Pole,Z71,CZP
Cape Romanzof LRRS Airport,61.78030014,-166.0390015,NA,US,US-AK,Cape Romanzof,PACZ,CZF
Cape Town International Airport,-33.96480179,18.60169983,AF,ZA,ZA-WC,Cape Town,FACT,CPT
Cap FAP David Abenzur Rengifo International Airport,-8.377940178,-74.57430267,SA,PE,PE-UCA,Pucallpa,SPCL,PCL
Cap Haitien International Airport,19.726734,-72.199576,NA,HT,HT-ND,Cap Haitien,MTCH,CAP
Capital City Airport,42.77870178,-84.58740234,NA,US,US-MI,Lansing,KLAN,LAN
Capital City Airport,40.21709824,-76.85150146,NA,US,US-PA,Harrisburg,KCXY,HAR
Capital City Airport,38.181698,-84.906764,NA,US,US-KY,Frankfort,KFFT,FFT
Capital International Airport,30.074293,31.84296,AF,EG,EG-C,New Cairo,HECP,CCE
Capitán Aníbal Arab Airport,-11.04039955,-68.78299713,SA,BO,BO-N,Cobija,SLCO,CIJ
Capitán Av. German Quiroga G. Airport,-14.85919952,-66.73750305,SA,BO,BO-B,San Borja,SLSB,SRJ
Capitán Av. Juan Cochamanidis S. Airport,-16.3836,-60.962799,SA,BO,BO-S,San Ignacio de Velasco,SLSI,SNG
Capitán Av. Salvador Ogaya G. airport,-18.975301,-57.820599,SA,BO,BO-S,Puerto Suárez,SLPS,PSZ
Capitán Av. Selin Zeitun Lopez Airport,-11,-66,SA,BO,BO-B,Riberalta,SLRI,RIB
Capitán Av. Vidal Villagomez Toledo Airport,-18.48250008,-64.09940338,SA,BO,BO-S,Vallegrande,SLVG,VAH
Capitan Corbeta CA Curbelo International Airport,-34.85509872,-55.09429932,SA,UY,UY-MA,Punta del Este,SULS,PDP
Capitan D Daniel Vazquez Airport,-49.306816,-67.802596,SA,AR,AR-Z,San Julian,SAWJ,ULA
Capitán de Av. Emilio Beltrán Airport,-10.82059956,-65.34559631,SA,BO,BO-B,Guayaramerín,SLGY,GYA
Capitan FAP Carlos Martinez De Pinillos International Airport,-8.081410408,-79.1088028,SA,PE,PE-LAL,Trujillo,SPRU,TRU
Capitán FAP Guillermo Concha Iberico International Airport,-5.205749989,-80.61640167,SA,PE,PE-PIU,Piura,SPUR,PIU
Capitan Nicolas Rojas Airport,-19.543331,-65.723734,SA,BO,BO-P,Potosí,SLPO,POI
Capitan Oriel Lea Plaza Airport,-21.5557,-64.701302,SA,BO,BO-T,Tarija,SLTJ,TJA
Capitan V A Almonacid Airport,-29.38159943,-66.79579926,SA,AR,AR-F,La Rioja,SANL,IRJ
Cap Skirring Airport,12.39533,-16.748,AF,SN,SN-ZG,Cap Skirring,GOGS,CSK
Captain Auguste George Airport,18.727734,-64.32852,NA,VG,VG-U-A,Anegada,TUPA,NGD
Captain Fuentes Martinez Airport,-53.2537,-70.319199,SA,CL,CL-MA,Porvenir,SCFM,WPR
Captain Jack Thomas El Dorado Airport,37.77410126,-96.81759644,NA,US,US-KS,El Dorado,KEQA,EDK
Captain João Busse Airport,-23.609099,-51.384301,SA,BR,BR-PR,Apucarana,SSAP,APU
Captain Pedro Canga Rodríguez International Airport,-3.552074,-80.381086,SA,PE,PE-TUM,Tumbes,SPME,TBP
Captain Renán Elías Olivera International Airport,-13.7449,-76.220299,SA,PE,PE-ICA,Pisco,SPSO,PIO
Captain Rogelio Castillo National Airport,20.546,-100.887001,NA,MX,MX-GUA,Celaya,MMCY,CYW
Captain Victor Montes Arias International Airport,-4.57664,-81.254097,SA,PE,PE-PIU,Talara,SPYL,TYL
Capt. J. Montenegro Airport,7.534801,-80.043347,NA,PA,PA-7,Pedasí,MPPD,PDM
Capurganá Airport,8.632169,-77.350262,SA,CO,CO-CHO,Acandí,SKCA,CPB
Carajás Airport,-6.117841,-50.003372,SA,BR,BR-PA,Parauapebas,SBCJ,CKS
Caransebeş Airport,45.41999817,22.25329971,EU,RO,RO-CS,Caransebeş,LRCS,CSB
Carauari Airport,-4.871473,-66.897552,SA,BR,BR-AM,Carauari,SWCA,CAF
